time_ps,time_us,ideal_clk,Fout,E_combined,edge_type
148760000,148.760,1,0,-22,ideal_clk_rise
148768000,148.768,1,0,-22,ideal_clk_rise
148776000,148.776,1,0,-22,ideal_clk_rise
148784000,148.784,1,0,-22,ideal_clk_rise
148792000,148.792,1,0,-22,ideal_clk_rise
148800000,148.800,1,0,-22,ideal_clk_rise
148808000,148.808,1,0,190,ideal_clk_rise
148816000,148.816,1,0,190,ideal_clk_rise
148824000,148.824,1,0,190,ideal_clk_rise
148832000,148.832,1,0,190,ideal_clk_rise
148840000,148.840,1,0,190,ideal_clk_rise
148848000,148.848,1,0,190,ideal_clk_rise
148856000,148.856,1,0,190,ideal_clk_rise
148864000,148.864,1,0,190,ideal_clk_rise
148872000,148.872,1,0,190,ideal_clk_rise
148880000,148.880,1,0,190,ideal_clk_rise
148888000,148.888,1,0,190,ideal_clk_rise
148896000,148.896,1,0,190,ideal_clk_rise
148904000,148.904,1,0,190,ideal_clk_rise
148912000,148.912,1,0,190,ideal_clk_rise
148920000,148.920,1,0,-621,ideal_clk_rise
148928000,148.928,1,0,-621,ideal_clk_rise
148936000,148.936,1,0,-621,ideal_clk_rise
148944000,148.944,1,0,-621,ideal_clk_rise
148952000,148.952,1,0,-621,ideal_clk_rise
148960000,148.960,1,0,-621,ideal_clk_rise
148968000,148.968,1,0,-621,ideal_clk_rise
148976000,148.976,1,0,-621,ideal_clk_rise
148984000,148.984,1,0,-621,ideal_clk_rise
148992000,148.992,1,0,-621,ideal_clk_rise
149000000,149.000,1,0,-621,ideal_clk_rise
149008000,149.008,1,0,-621,ideal_clk_rise
149016000,149.016,1,0,-621,ideal_clk_rise
149024000,149.024,1,0,-621,ideal_clk_rise
149032000,149.032,1,0,615,ideal_clk_rise
149040000,149.040,1,0,615,ideal_clk_rise
149048000,149.048,1,0,615,ideal_clk_rise
149056000,149.056,1,0,615,ideal_clk_rise
149064000,149.064,1,0,615,ideal_clk_rise
149072000,149.072,1,0,615,ideal_clk_rise
149080000,149.080,1,0,615,ideal_clk_rise
149088000,149.088,1,0,615,ideal_clk_rise
149096000,149.096,1,0,615,ideal_clk_rise
149104000,149.104,1,0,615,ideal_clk_rise
149112000,149.112,1,0,615,ideal_clk_rise
149120000,149.120,1,0,615,ideal_clk_rise
149128000,149.128,1,0,615,ideal_clk_rise
149136000,149.136,1,1,615,ideal_clk_rise
149144000,149.144,1,0,-1219,ideal_clk_rise
149152000,149.152,1,0,-1219,ideal_clk_rise
149160000,149.160,1,0,-1219,ideal_clk_rise
149168000,149.168,1,0,-1219,ideal_clk_rise
149176000,149.176,1,0,-1219,ideal_clk_rise
149184000,149.184,1,0,-1219,ideal_clk_rise
149192000,149.192,1,0,-1219,ideal_clk_rise
149200000,149.200,1,0,-1219,ideal_clk_rise
149208000,149.208,1,0,-1219,ideal_clk_rise
149216000,149.216,1,0,-1219,ideal_clk_rise
149224000,149.224,1,0,-1219,ideal_clk_rise
149232000,149.232,1,0,-1219,ideal_clk_rise
149240000,149.240,1,0,-1219,ideal_clk_rise
149248000,149.248,1,0,-1219,ideal_clk_rise
149256000,149.256,1,0,-1219,ideal_clk_rise
149264000,149.264,1,0,1040,ideal_clk_rise
149272000,149.272,1,0,1040,ideal_clk_rise
149280000,149.280,1,0,1040,ideal_clk_rise
149288000,149.288,1,0,1040,ideal_clk_rise
149296000,149.296,1,0,1040,ideal_clk_rise
149304000,149.304,1,0,1040,ideal_clk_rise
149312000,149.312,1,0,1040,ideal_clk_rise
149320000,149.320,1,0,1040,ideal_clk_rise
149328000,149.328,1,0,1040,ideal_clk_rise
149336000,149.336,1,0,1040,ideal_clk_rise
149344000,149.344,1,0,1040,ideal_clk_rise
149352000,149.352,1,0,1040,ideal_clk_rise
149360000,149.360,1,0,1040,ideal_clk_rise
149368000,149.368,1,0,1040,ideal_clk_rise
149376000,149.376,1,0,231,ideal_clk_rise
149384000,149.384,1,0,231,ideal_clk_rise
149392000,149.392,1,0,231,ideal_clk_rise
149400000,149.400,1,0,231,ideal_clk_rise
149408000,149.408,1,0,231,ideal_clk_rise
149416000,149.416,1,0,231,ideal_clk_rise
149424000,149.424,1,0,231,ideal_clk_rise
149432000,149.432,1,0,231,ideal_clk_rise
149440000,149.440,1,0,231,ideal_clk_rise
149448000,149.448,1,0,231,ideal_clk_rise
149456000,149.456,1,0,231,ideal_clk_rise
149464000,149.464,1,0,231,ideal_clk_rise
149472000,149.472,1,0,231,ideal_clk_rise
149480000,149.480,1,0,231,ideal_clk_rise
149488000,149.488,1,0,-581,ideal_clk_rise
149496000,149.496,1,0,-581,ideal_clk_rise
149504000,149.504,1,0,-581,ideal_clk_rise
149512000,149.512,1,0,-581,ideal_clk_rise
149520000,149.520,1,0,-581,ideal_clk_rise
149528000,149.528,1,0,-581,ideal_clk_rise
149536000,149.536,1,0,-581,ideal_clk_rise
149544000,149.544,1,0,-581,ideal_clk_rise
149552000,149.552,1,0,-581,ideal_clk_rise
149560000,149.560,1,0,-581,ideal_clk_rise
149568000,149.568,1,0,-581,ideal_clk_rise
149576000,149.576,1,0,-581,ideal_clk_rise
149584000,149.584,1,0,-581,ideal_clk_rise
149592000,149.592,1,0,-581,ideal_clk_rise
149600000,149.600,1,0,655,ideal_clk_rise
149608000,149.608,1,0,655,ideal_clk_rise
149616000,149.616,1,0,655,ideal_clk_rise
149624000,149.624,1,0,655,ideal_clk_rise
149632000,149.632,1,0,655,ideal_clk_rise
149640000,149.640,1,0,655,ideal_clk_rise
149648000,149.648,1,0,655,ideal_clk_rise
149656000,149.656,1,0,655,ideal_clk_rise
149664000,149.664,1,0,655,ideal_clk_rise
149672000,149.672,1,0,655,ideal_clk_rise
149680000,149.680,1,0,655,ideal_clk_rise
149688000,149.688,1,0,655,ideal_clk_rise
149696000,149.696,1,0,655,ideal_clk_rise
149704000,149.704,1,0,655,ideal_clk_rise
149712000,149.712,1,0,655,ideal_clk_rise
149720000,149.720,1,0,-155,ideal_clk_rise
149728000,149.728,1,0,-155,ideal_clk_rise
149736000,149.736,1,0,-155,ideal_clk_rise
149744000,149.744,1,0,-155,ideal_clk_rise
149752000,149.752,1,0,-155,ideal_clk_rise
149760000,149.760,1,0,-155,ideal_clk_rise
149768000,149.768,1,0,-155,ideal_clk_rise
149776000,149.776,1,0,-155,ideal_clk_rise
149784000,149.784,1,0,-155,ideal_clk_rise
149792000,149.792,1,0,-155,ideal_clk_rise
149800000,149.800,1,0,-155,ideal_clk_rise
149808000,149.808,1,0,-155,ideal_clk_rise
149816000,149.816,1,0,-155,ideal_clk_rise
149824000,149.824,1,0,-155,ideal_clk_rise
149832000,149.832,1,0,-967,ideal_clk_rise
149840000,149.840,1,0,-967,ideal_clk_rise
149848000,149.848,1,0,-967,ideal_clk_rise
149856000,149.856,1,0,-967,ideal_clk_rise
149864000,149.864,1,0,-967,ideal_clk_rise
149872000,149.872,1,0,-967,ideal_clk_rise
149880000,149.880,1,0,-967,ideal_clk_rise
149888000,149.888,1,0,-967,ideal_clk_rise
149896000,149.896,1,0,-967,ideal_clk_rise
149904000,149.904,1,0,-967,ideal_clk_rise
149912000,149.912,1,0,-967,ideal_clk_rise
149920000,149.920,1,0,-967,ideal_clk_rise
149928000,149.928,1,0,-967,ideal_clk_rise
149936000,149.936,1,1,-967,ideal_clk_rise
149944000,149.944,1,0,1293,ideal_clk_rise
149952000,149.952,1,0,1293,ideal_clk_rise
149960000,149.960,1,0,1293,ideal_clk_rise
149968000,149.968,1,0,1293,ideal_clk_rise
149976000,149.976,1,0,1293,ideal_clk_rise
149984000,149.984,1,0,1293,ideal_clk_rise
149992000,149.992,1,0,1293,ideal_clk_rise
150000000,150.000,1,0,1293,ideal_clk_rise
150008000,150.008,1,0,1293,ideal_clk_rise
150016000,150.016,1,0,1293,ideal_clk_rise
150024000,150.024,1,0,1293,ideal_clk_rise
150032000,150.032,1,0,1293,ideal_clk_rise
150040000,150.040,1,0,1293,ideal_clk_rise
150048000,150.048,1,0,1293,ideal_clk_rise
150056000,150.056,1,0,-540,ideal_clk_rise
150064000,150.064,1,0,-540,ideal_clk_rise
150072000,150.072,1,0,-540,ideal_clk_rise
150080000,150.080,1,0,-540,ideal_clk_rise
150088000,150.088,1,0,-540,ideal_clk_rise
150096000,150.096,1,0,-540,ideal_clk_rise
150104000,150.104,1,0,-540,ideal_clk_rise
150112000,150.112,1,0,-540,ideal_clk_rise
150120000,150.120,1,0,-540,ideal_clk_rise
150128000,150.128,1,0,-540,ideal_clk_rise
150136000,150.136,1,0,-540,ideal_clk_rise
150144000,150.144,1,0,-540,ideal_clk_rise
150152000,150.152,1,0,-540,ideal_clk_rise
150160000,150.160,1,0,-540,ideal_clk_rise
150168000,150.168,1,0,-540,ideal_clk_rise
150176000,150.176,1,0,-329,ideal_clk_rise
150184000,150.184,1,0,-329,ideal_clk_rise
150192000,150.192,1,0,-329,ideal_clk_rise
150200000,150.200,1,0,-329,ideal_clk_rise
150208000,150.208,1,0,-329,ideal_clk_rise
150216000,150.216,1,0,-329,ideal_clk_rise
150224000,150.224,1,0,-329,ideal_clk_rise
150232000,150.232,1,0,-329,ideal_clk_rise
150240000,150.240,1,0,-329,ideal_clk_rise
150248000,150.248,1,0,-329,ideal_clk_rise
150256000,150.256,1,0,-329,ideal_clk_rise
150264000,150.264,1,0,-329,ideal_clk_rise
150272000,150.272,1,0,-329,ideal_clk_rise
150280000,150.280,1,0,-329,ideal_clk_rise
150288000,150.288,1,0,-116,ideal_clk_rise
150296000,150.296,1,0,-116,ideal_clk_rise
150304000,150.304,1,0,-116,ideal_clk_rise
150312000,150.312,1,0,-116,ideal_clk_rise
150320000,150.320,1,0,-116,ideal_clk_rise
150328000,150.328,1,0,-116,ideal_clk_rise
150336000,150.336,1,0,-116,ideal_clk_rise
150344000,150.344,1,0,-116,ideal_clk_rise
150352000,150.352,1,0,-116,ideal_clk_rise
150360000,150.360,1,0,-116,ideal_clk_rise
150368000,150.368,1,0,-116,ideal_clk_rise
150376000,150.376,1,0,-116,ideal_clk_rise
150384000,150.384,1,0,-116,ideal_clk_rise
150392000,150.392,1,0,-116,ideal_clk_rise
150400000,150.400,1,0,97,ideal_clk_rise
150408000,150.408,1,0,97,ideal_clk_rise
150416000,150.416,1,0,97,ideal_clk_rise
150424000,150.424,1,0,97,ideal_clk_rise
150432000,150.432,1,0,97,ideal_clk_rise
150440000,150.440,1,0,97,ideal_clk_rise
150448000,150.448,1,0,97,ideal_clk_rise
150456000,150.456,1,0,97,ideal_clk_rise
150464000,150.464,1,0,97,ideal_clk_rise
150472000,150.472,1,0,97,ideal_clk_rise
150480000,150.480,1,0,97,ideal_clk_rise
150488000,150.488,1,0,97,ideal_clk_rise
150496000,150.496,1,0,97,ideal_clk_rise
150504000,150.504,1,1,97,ideal_clk_rise
150512000,150.512,1,0,310,ideal_clk_rise
150520000,150.520,1,0,310,ideal_clk_rise
150528000,150.528,1,0,310,ideal_clk_rise
150536000,150.536,1,0,310,ideal_clk_rise
150544000,150.544,1,0,310,ideal_clk_rise
150552000,150.552,1,0,310,ideal_clk_rise
150560000,150.560,1,0,310,ideal_clk_rise
150568000,150.568,1,0,310,ideal_clk_rise
150576000,150.576,1,0,310,ideal_clk_rise
150584000,150.584,1,0,310,ideal_clk_rise
150592000,150.592,1,0,310,ideal_clk_rise
150600000,150.600,1,0,310,ideal_clk_rise
150608000,150.608,1,0,310,ideal_clk_rise
150616000,150.616,1,0,310,ideal_clk_rise
150624000,150.624,1,0,310,ideal_clk_rise
150632000,150.632,1,0,523,ideal_clk_rise
150640000,150.640,1,0,523,ideal_clk_rise
150648000,150.648,1,0,523,ideal_clk_rise
150656000,150.656,1,0,523,ideal_clk_rise
150664000,150.664,1,0,523,ideal_clk_rise
150672000,150.672,1,0,523,ideal_clk_rise
150680000,150.680,1,0,523,ideal_clk_rise
150688000,150.688,1,0,523,ideal_clk_rise
150696000,150.696,1,0,523,ideal_clk_rise
150704000,150.704,1,0,523,ideal_clk_rise
150712000,150.712,1,0,523,ideal_clk_rise
150720000,150.720,1,0,523,ideal_clk_rise
150728000,150.728,1,0,523,ideal_clk_rise
150736000,150.736,1,0,523,ideal_clk_rise
150744000,150.744,1,0,-288,ideal_clk_rise
150752000,150.752,1,0,-288,ideal_clk_rise
150760000,150.760,1,0,-288,ideal_clk_rise
150768000,150.768,1,0,-288,ideal_clk_rise
150776000,150.776,1,0,-288,ideal_clk_rise
150784000,150.784,1,0,-288,ideal_clk_rise
150792000,150.792,1,0,-288,ideal_clk_rise
150800000,150.800,1,0,-288,ideal_clk_rise
150808000,150.808,1,0,-288,ideal_clk_rise
150816000,150.816,1,0,-288,ideal_clk_rise
150824000,150.824,1,0,-288,ideal_clk_rise
150832000,150.832,1,0,-288,ideal_clk_rise
150840000,150.840,1,0,-288,ideal_clk_rise
150848000,150.848,1,0,-288,ideal_clk_rise
150856000,150.856,1,0,-1100,ideal_clk_rise
150864000,150.864,1,0,-1100,ideal_clk_rise
150872000,150.872,1,0,-1100,ideal_clk_rise
150880000,150.880,1,0,-1100,ideal_clk_rise
150888000,150.888,1,0,-1100,ideal_clk_rise
150896000,150.896,1,0,-1100,ideal_clk_rise
150904000,150.904,1,0,-1100,ideal_clk_rise
150912000,150.912,1,0,-1100,ideal_clk_rise
150920000,150.920,1,0,-1100,ideal_clk_rise
150928000,150.928,1,0,-1100,ideal_clk_rise
150936000,150.936,1,0,-1100,ideal_clk_rise
150944000,150.944,1,0,-1100,ideal_clk_rise
150952000,150.952,1,0,-1100,ideal_clk_rise
150960000,150.960,1,0,-1100,ideal_clk_rise
150968000,150.968,1,0,1160,ideal_clk_rise
150976000,150.976,1,0,1160,ideal_clk_rise
150984000,150.984,1,0,1160,ideal_clk_rise
150992000,150.992,1,0,1160,ideal_clk_rise
151000000,151.000,1,0,1160,ideal_clk_rise
151008000,151.008,1,0,1160,ideal_clk_rise
151016000,151.016,1,0,1160,ideal_clk_rise
151024000,151.024,1,0,1160,ideal_clk_rise
151032000,151.032,1,0,1160,ideal_clk_rise
151040000,151.040,1,0,1160,ideal_clk_rise
151048000,151.048,1,0,1160,ideal_clk_rise
151056000,151.056,1,0,1160,ideal_clk_rise
151064000,151.064,1,0,1160,ideal_clk_rise
151072000,151.072,1,0,1160,ideal_clk_rise
151080000,151.080,1,0,-673,ideal_clk_rise
151088000,151.088,1,0,-673,ideal_clk_rise
151096000,151.096,1,0,-673,ideal_clk_rise
151104000,151.104,1,0,-673,ideal_clk_rise
151112000,151.112,1,0,-673,ideal_clk_rise
151120000,151.120,1,0,-673,ideal_clk_rise
151128000,151.128,1,0,-673,ideal_clk_rise
151136000,151.136,1,0,-673,ideal_clk_rise
151144000,151.144,1,0,-673,ideal_clk_rise
151152000,151.152,1,0,-673,ideal_clk_rise
151160000,151.160,1,0,-673,ideal_clk_rise
151168000,151.168,1,0,-673,ideal_clk_rise
151176000,151.176,1,0,-673,ideal_clk_rise
151184000,151.184,1,0,-673,ideal_clk_rise
151192000,151.192,1,0,-673,ideal_clk_rise
151200000,151.200,1,0,562,ideal_clk_rise
151208000,151.208,1,0,562,ideal_clk_rise
151216000,151.216,1,0,562,ideal_clk_rise
151224000,151.224,1,0,562,ideal_clk_rise
151232000,151.232,1,0,562,ideal_clk_rise
151240000,151.240,1,0,562,ideal_clk_rise
151248000,151.248,1,0,562,ideal_clk_rise
151256000,151.256,1,0,562,ideal_clk_rise
151264000,151.264,1,0,562,ideal_clk_rise
151272000,151.272,1,0,562,ideal_clk_rise
151280000,151.280,1,0,562,ideal_clk_rise
151288000,151.288,1,0,562,ideal_clk_rise
151296000,151.296,1,0,562,ideal_clk_rise
151304000,151.304,1,0,562,ideal_clk_rise
151312000,151.312,1,0,-248,ideal_clk_rise
151320000,151.320,1,0,-248,ideal_clk_rise
151328000,151.328,1,0,-248,ideal_clk_rise
151336000,151.336,1,0,-248,ideal_clk_rise
151344000,151.344,1,0,-248,ideal_clk_rise
151352000,151.352,1,0,-248,ideal_clk_rise
151360000,151.360,1,0,-248,ideal_clk_rise
151368000,151.368,1,0,-248,ideal_clk_rise
151376000,151.376,1,0,-248,ideal_clk_rise
151384000,151.384,1,0,-248,ideal_clk_rise
151392000,151.392,1,0,-248,ideal_clk_rise
151400000,151.400,1,0,-248,ideal_clk_rise
151408000,151.408,1,0,-248,ideal_clk_rise
151416000,151.416,1,1,-248,ideal_clk_rise
151424000,151.424,1,0,-36,ideal_clk_rise
151432000,151.432,1,0,-36,ideal_clk_rise
151440000,151.440,1,0,-36,ideal_clk_rise
151448000,151.448,1,0,-36,ideal_clk_rise
