VCD info: dumpfile dtc_waveform.vcd opened for output.
=============================================
?????????:
  cal_auto_en=0 dtc_gain_muxed=160 order_sel=0
  stage_sel=2'b01 eo_dly_sel=2'b01 dtc_en=1
=============================================

??? | REF???(ps)    | REF???(ps)    | DTC???(ps)    | DTC???(ps)    | ???(ps)
  103  | 12542000          | 113600          | 12543580          | 113940          | 1580
  104  | 12655600          | 113600          | 12655900          | 112320          | 300
  105  | 12770800          | 115200          | 12771440          | 115540          | 640
  106  | 12884400          | 113600          | 12885360          | 113920          | 960
  107  | 12998000          | 113600          | 12999300          | 113940          | 1300
  108  | 13111600          | 113600          | 13111640          | 112340          | 40
  109  | 13226800          | 115200          | 13227160          | 115520          | 360
  110  | 13340400          | 113600          | 13341100          | 113940          | 700
  111  | 13454000          | 113600          | 13455040          | 113940          | 1040
  112  | 13567600          | 113600          | 13568960          | 113920          | 1360
  113  | 13681200          | 113600          | 13681300          | 112340          | 100
  114  | 13796400          | 115200          | 13796820          | 115520          | 420
  115  | 13910000          | 113600          | 13910760          | 113940          | 760
  116  | 14023600          | 113600          | 14024700          | 113940          | 1100
  117  | 14137200          | 113600          | 14138620          | 113920          | 1420
  118  | 14250800          | 113600          | 14250960          | 112340          | 160
  119  | 14366000          | 115200          | 14366500          | 115540          | 500
D:\GS\??\FPGA\xcvu9p-flga2104-2L-e\fpga_pll_mash111_dtc_ssc\RTL\testbench\openclaw\tb_top.v:81: $finish called at 200000000 (1ps)
