VCD info: dumpfile dtc_waveform.vcd opened for output.
=============================================
??????:
  cal_auto_en=0 dtc_gain_muxed=160 order_sel=0
  stage_sel=2'b01 eo_dly_sel=2'b01 dtc_en=1
=============================================

?? | REF??(ps)    | REF??(ps)    | DTC??(ps)    | DTC??(ps)    | ??(ps)
  103  | 12542000          | 113600          | 12543240          | 113940          | 1240
  104  | 12655600          | 113600          | 12657180          | 113940          | 1580
  105  | 12770800          | 115200          | 12771100          | 113920          | 300
  106  | 12884400          | 113600          | 12885040          | 113940          | 640
  107  | 12998000          | 113600          | 12998960          | 113920          | 960
  108  | 13111600          | 113600          | 13112900          | 113940          | 1300
  109  | 13226800          | 115200          | 13226840          | 113940          | 40
  110  | 13340400          | 113600          | 13340760          | 113920          | 360
  111  | 13454000          | 113600          | 13454700          | 113940          | 700
  112  | 13567600          | 113600          | 13568640          | 113940          | 1040
  113  | 13681200          | 113600          | 13682560          | 113920          | 1360
  114  | 13796400          | 115200          | 13796500          | 113940          | 100
  115  | 13910000          | 113600          | 13910420          | 113920          | 420
  116  | 14023600          | 113600          | 14024360          | 113940          | 760
  117  | 14137200          | 113600          | 14138300          | 113940          | 1100
  118  | 14250800          | 113600          | 14252220          | 113920          | 1420
  119  | 14366000          | 115200          | 14366160          | 113940          | 160
D:\GS\??\FPGA\xcvu9p-flga2104-2L-e\fpga_pll_mash111_dtc_ssc\RTL\testbench\openclaw\tb_top.v:81: $finish called at 200000000 (1ps)
